Order_ID,Customer_ID,Branch_ID,Order_DateTime,Status
1,4761,4,06/07/2025 12:29,Completed
2,1740,6,24/03/2025 08:16,Completed
3,2671,4,14/10/2025 21:25,Completed
4,2692,5,08/02/2025 21:24,Completed
5,1776,2,19/12/2024 21:01,Completed
6,1236,7,02/12/2025 20:52,Completed
7,49,2,08/03/2024 08:36,Completed
8,1646,8,22/05/2024 08:09,Completed
9,3794,1,16/07/2024 12:43,Completed
10,2615,4,07/04/2024 12:41,Cancelled
11,3759,1,10/12/2024 09:50,Completed
12,1096,5,19/12/2024 20:23,Completed
13,2806,2,13/01/2025 08:28,Completed
14,2608,5,23/11/2025 12:47,Completed
15,2807,8,25/03/2025 20:03,Completed
16,2246,3,14/05/2025 20:51,Completed
17,706,8,13/12/2024 19:46,Completed
18,788,4,15/07/2024 20:10,Completed
19,4188,4,17/04/2024 19:33,Completed
20,3673,2,08/10/2024 13:48,Completed
21,2435,5,28/08/2024 09:46,Completed
22,1979,8,06/09/2024 09:26,Completed
23,223,4,03/12/2024 21:02,Completed
24,3026,8,23/09/2025 12:54,Refunded
25,3149,1,28/12/2024 08:14,Completed
26,3592,5,12/01/2025 21:46,Completed
27,3445,1,25/02/2024 19:06,Completed
28,2367,3,08/01/2025 13:15,Completed
29,502,8,05/10/2024 21:22,Completed
30,3419,7,26/06/2024 20:03,Completed
31,2354,4,19/07/2025 19:46,Completed
32,978,3,08/05/2025 13:19,Completed
33,1404,6,17/03/2024 19:16,Completed
34,1306,7,08/09/2024 20:55,Completed
35,1852,5,28/10/2024 12:33,Completed
36,1480,5,04/08/2024 13:31,Completed
37,3248,1,06/11/2024 09:39,Completed
38,1679,5,01/01/2024 09:58,Completed
39,1415,1,22/05/2025 13:48,Completed
40,3592,6,19/12/2025 08:44,Completed
41,478,2,24/04/2025 13:19,Completed
42,2337,5,18/08/2025 08:56,Completed
43,2316,6,05/08/2025 12:47,Completed
44,1603,4,04/12/2024 21:10,Completed
45,278,1,21/10/2024 20:37,Completed
46,3403,2,12/08/2025 08:16,Completed
47,903,2,17/06/2025 21:10,Completed
48,2752,3,29/03/2024 21:12,Completed
49,3322,1,16/11/2025 09:26,Completed
50,3196,3,09/03/2025 09:24,Completed
51,1294,5,22/06/2025 19:35,Completed
52,1837,1,17/06/2025 21:46,Completed
53,678,2,19/02/2024 20:13,Completed
54,2947,2,05/09/2024 12:18,Completed
55,1152,7,18/10/2024 20:03,Completed
56,2231,2,15/05/2025 12:48,Completed
57,1494,8,11/03/2025 20:16,Completed
58,4553,5,24/04/2024 21:29,Refunded
59,4886,6,19/01/2024 19:11,Completed
60,4109,8,01/07/2024 20:51,Completed
61,1785,7,15/06/2025 20:06,Completed
62,4402,7,31/07/2025 20:49,Completed
63,33,3,23/05/2025 08:15,Refunded
64,3804,7,01/06/2024 09:56,Completed
65,1441,7,14/05/2025 20:07,Completed
66,2605,6,15/12/2025 19:37,Completed
67,4602,7,01/05/2025 12:19,Completed
68,2658,4,11/04/2025 12:57,Completed
69,4648,7,30/11/2025 09:27,Completed
70,4165,7,21/03/2024 20:07,Completed
71,482,1,15/08/2024 08:15,Completed
72,381,8,29/05/2024 21:40,Refunded
73,1689,3,28/04/2024 20:10,Completed
74,545,7,14/08/2024 19:31,Completed
75,2445,3,21/10/2025 20:59,Completed
76,4358,8,16/07/2024 13:03,Completed
77,3652,6,16/02/2025 09:17,Completed
78,4035,4,11/06/2025 19:50,Completed
79,1431,3,18/02/2024 12:02,Completed
80,1054,4,08/06/2025 20:11,Completed
81,3108,7,06/04/2025 09:53,Completed
82,2955,1,10/07/2024 19:20,Completed
83,759,3,20/02/2025 21:42,Completed
84,3403,2,18/04/2024 12:35,Completed
85,4199,3,16/03/2025 20:00,Cancelled
86,852,7,01/02/2025 08:22,Completed
87,118,7,06/11/2025 19:07,Completed
88,2864,8,28/09/2024 19:25,Completed
89,685,7,26/05/2024 09:00,Completed
90,921,6,30/11/2024 19:54,Completed
91,2537,8,26/11/2025 20:58,Completed
92,2433,3,20/04/2025 08:56,Completed
93,2040,6,19/01/2024 09:09,Completed
94,772,1,19/09/2024 12:15,Completed
95,3337,2,24/02/2024 09:18,Completed
96,4119,5,08/06/2025 19:46,Completed
97,2321,8,27/06/2025 20:27,Completed
98,3283,8,08/02/2024 13:55,Completed
99,597,2,19/03/2025 09:01,Completed
100,594,4,15/10/2025 20:38,Completed
101,4031,6,27/03/2024 13:34,Completed
102,1535,4,21/07/2025 19:00,Completed
103,3656,2,28/12/2024 08:26,Completed
104,4498,5,10/12/2024 13:42,Completed
105,2553,3,17/08/2024 12:30,Completed
106,1355,5,27/04/2024 08:24,Completed
107,4579,7,20/04/2024 21:50,Completed
108,4765,1,08/08/2025 12:47,Completed
109,1767,5,06/04/2024 19:48,Completed
110,3181,5,29/01/2024 13:43,Completed
111,2305,4,23/12/2024 13:27,Completed
112,939,8,16/12/2024 08:29,Completed
113,2593,6,29/04/2024 13:48,Completed
114,4092,5,26/11/2024 09:56,Completed
115,2973,2,12/10/2025 19:11,Completed
116,3313,2,16/03/2024 20:14,Completed
117,4611,5,31/08/2024 08:05,Completed
118,1542,1,07/12/2025 12:53,Completed
119,387,6,28/08/2025 21:53,Completed
120,2995,7,03/12/2025 21:21,Completed
121,3672,4,26/09/2024 12:37,Completed
122,4831,4,08/11/2024 13:40,Completed
123,4034,8,12/10/2024 08:25,Completed
124,3528,8,15/06/2025 09:08,Completed
125,2497,7,16/07/2025 13:08,Completed
126,1965,7,16/01/2024 13:49,Completed
127,2369,2,25/02/2024 09:50,Completed
128,1271,6,17/10/2024 08:15,Completed
129,2917,8,13/07/2024 12:27,Completed
130,2120,2,23/12/2024 13:09,Refunded
131,1837,4,06/10/2024 09:02,Completed
132,2938,1,15/06/2025 13:30,Refunded
133,1651,1,19/01/2024 21:52,Completed
134,3783,4,10/04/2024 09:53,Completed
135,1279,7,27/11/2024 19:12,Completed
136,1439,4,31/05/2025 13:09,Completed
137,2900,3,28/04/2024 09:56,Completed
138,3778,5,26/02/2024 09:51,Completed
139,1296,8,09/03/2025 21:27,Completed
140,1154,1,04/10/2024 19:05,Completed
141,3003,4,27/12/2025 20:52,Completed
142,3132,7,29/08/2024 21:49,Completed
143,565,4,20/08/2024 12:54,Completed
144,551,8,03/05/2024 09:13,Completed
145,651,8,03/02/2024 13:52,Completed
146,2700,4,15/09/2024 21:18,Completed
147,1687,8,25/02/2024 20:52,Completed
148,1357,2,27/10/2025 20:20,Completed
149,3478,3,21/03/2025 21:02,Completed
150,2608,1,11/12/2025 08:27,Completed
151,1156,7,18/07/2024 19:23,Completed
152,2517,8,24/10/2024 08:09,Completed
153,3712,6,05/10/2024 19:57,Completed
154,3509,4,04/06/2024 20:57,Completed
155,4945,5,01/10/2024 20:53,Completed
156,2502,7,06/12/2024 09:30,Completed
157,1562,4,08/01/2025 12:01,Completed
158,1939,3,12/10/2025 20:44,Completed
159,3240,1,27/08/2024 20:56,Completed
160,3342,7,02/04/2025 20:33,Completed
161,2940,6,30/06/2025 21:22,Completed
162,2333,7,30/06/2025 12:45,Completed
163,4646,8,23/11/2025 09:21,Completed
164,3212,7,27/07/2025 13:03,Completed
165,3332,1,27/04/2025 13:23,Completed
166,4065,7,11/06/2024 12:10,Completed
167,2561,4,03/09/2024 21:44,Completed
168,2032,2,21/09/2024 21:12,Completed
169,112,6,22/01/2025 21:05,Completed
170,3757,5,12/07/2024 21:35,Completed
171,3312,6,06/11/2024 21:26,Completed
172,920,2,20/10/2025 08:36,Completed
